source_column,feature_name,type,description,exemple,relevant_roles,inverted,feat_col,z_col
shotsOnTarget,shots_ot_p90,vol,Tir cadré = tir qui serait rentré sans intervention du gardien ou du dernier défenseur. Inclut les buts. Exclut les tirs bloqués par un défenseur ordinaire (non dernier défenseur) et les tirs sur le poteau.,Tir stoppé par le gardien = cadré. Tir bloqué par un défenseur en dehors de la ligne = non cadré. Tir sur le poteau = non cadré,CF|W|AM,False,feat_shots_ot_p90,z_shots_ot_p90
goalConversionPercentage,goal_conv_pct,pct,"Buts divisés par tirs totaux tentés, exprimé en pourcentage. Mesure l'efficacité brute de finition. Ne tient pas compte de la qualité des occasions (contrairement à xG).",10 buts sur 50 tirs = 20%. Valeur moyenne PL ≈ 10-12%,CF|W|AM,False,feat_goal_conv_pct,z_goal_conv_pct
bigChancesMissed,big_miss_p90,vol,Situation individuelle où le tireur devrait raisonnablement marquer mais ne le fait pas. Mêmes critères que bigChancesCreated — appliqués au tireur plutôt qu'au créateur.,Haaland seul face au gardien à 5m tire au-dessus = 1 big chance missed,CF|W,True,feat_big_miss_p90,z_big_miss_p90
assists,ast_p90,vol,"Dernière action (passe, déviation, ou toute autre touche) menant directement au but du receveur. Si la passe décisive est déviée par un adversaire, une 'fantasy assist' est comptée pour le rating mais pas dans les stats officielles.","De Bruyne centre, Haaland marque de la tête = assist De Bruyne. Si un défenseur dévie le centre et Haaland marque = pas d'assist officiel",W|AM|CM|CF|FB,False,feat_ast_p90,z_ast_p90
passToAssist,pass_to_assist_p90,vol,"Avant-dernière passe dans une séquence aboutissant à un but — la passe qui mène à la passe décisive. Mesure la contribution créatrice en amont de la phase finale, invisible dans les stats assists.","Kroos joue à Modric, Modric passe à Benzema qui marque → assist pour Modric, passToAssist pour Kroos",CM|AM|W,False,feat_pass_to_assist_p90,z_pass_to_assist_p90
accurateFinalThirdPasses,passes_f3_p90,vol,Passes dont le point d'arrivée se situe dans le dernier tiers du terrain (33m finaux). Mesure la capacité à faire progresser le jeu vers l'avant. Ne requiert pas que la passe soit une passe clé.,Busquets joue une passe depuis son propre camp vers Pedri dans le dernier tiers = 1 passToFinalThird,CM|DM|CB|AM,False,feat_passes_f3_p90,z_passes_f3_p90
expectedAssists,xa_p90,vol,"xG de l'occasion créée par la passe, calculé au moment où le receveur tire. Mesure la qualité des passes menant à un tir, quel que soit le résultat du tir. Une passe vers un xG=0.5 vaut xA=0.5 même si le tir est raté.",Passe dans la surface pour tir à bout portant (xG=0.45) = xA=0.45 pour le passeur. Passe vers une frappe lointaine (xG=0.03) = xA=0.03,W|AM|CM|CF|FB,False,feat_xa_p90,z_xa_p90
xA_us,xa_us_p90,vol,"xA calculé par Understat — probabilité de but générée par les passes du joueur, sur la base des tirs qui ont suivi. Méthodologie légèrement différente de l'xA Opta : Understat exclut les assistances sur pénaltys.","De Bruyne joue 3 passes menant à des tirs (xG=0.35, 0.12, 0.08) → xA_us = 0.55 pour ce match",W|AM|CM|CF|FB,False,feat_xa_us_p90,z_xa_us_p90
keyPasses,key_passes_p90,vol,"Passe menant directement à une tentative de but de l'équipe, sans être une passe décisive officielle (le tir ne se transforme pas en but). Critère : la passe doit être la dernière avant le tir.","Ødegaard joue une passe à Saka qui tire, gardien arrête = 1 key pass pour Ødegaard. Si Saka marque = assist, pas key pass",AM|CM|W|CF|FB,False,feat_key_passes_p90,z_key_passes_p90
bigChancesCreated,big_chances_p90,vol,"Passes ou actions menant à une situation où le receveur devrait raisonnablement être attendu à marquer. Inclut les pénaltys obtenus suite à une passe. Critère : face-à-face, tir à bout portant depuis la zone de vérité (< 6m), ou un-contre-un latéral.",De Bruyne joue une passe dans le dos de la défense pour Haaland seul face au gardien = 1 big chance created,AM|CM|W|FB,False,feat_big_chances_p90,z_big_chances_p90
passesToFinalThird,passes_f3_p90,vol,Passes dont le point d'arrivée se situe dans le dernier tiers du terrain (33m finaux). Mesure la capacité à faire progresser le jeu vers l'avant. Ne requiert pas que la passe soit une passe clé.,Busquets joue une passe depuis son propre camp vers Pedri dans le dernier tiers = 1 passToFinalThird,CM|DM|CB|AM,False,feat_passes_f3_p90,z_passes_f3_p90
accuratePasses,acc_passes_p90,vol,"Nombre absolu de passes réussies sur la saison — passe qu'un coéquipier contrôle. Converti en per-90 pour la comparaison inter-joueurs. Exclut les corners, remises en jeu et dégagements gardien.",Kroos : 85 passes réussies en 90min = 85 acc_passes pour ce match. Moyenne DM = 60-80 per-90,CM|DM|CB|AM,False,feat_acc_passes_p90,z_acc_passes_p90
accuratePassesPercentage,pass_acc_pct,pct,"Passes réussies divisées par passes tentées. Une passe est réussie si un coéquipier la contrôle. Exclut les corners, remises en jeu, dégagements du gardien et centres (comptés séparément).",Kroos : 85 passes réussies / 90 tentées = 94.4%. Moyenne DM Premier League ≈ 82%,CM|DM|CB|FB|AM|GK,False,feat_pass_acc_pct,z_pass_acc_pct
accurateLongBalls,long_balls_p90,vol,Passes longues réussies — ballon joué en hauteur sur une distance significative (généralement >32m) récupéré par un coéquipier. Comptées en absolu per-90.,Rúben Dias joue 8 longues passes dont 6 arrivent à un coéquipier = 6 long balls réussies,CB|DM|GK|CM,False,feat_long_balls_p90,z_long_balls_p90
accurateLongBallsPercentage,long_balls_pct,pct,Passes longues réussies sur passes longues tentées. Une passe longue est définie par Opta comme un ballon joué en hauteur sur une distance significative (généralement >32m). Indicateur clé des CBs relanceurs et gardiens modernes.,"Rúben Dias joue 8 longues passes, 6 arrivent à un coéquipier = 75% long balls",CB|DM|GK|CM,False,feat_long_balls_pct,z_long_balls_pct
accurateCrosses,crosses_p90,vol,"Centres réussis — ballons intentionnels joués depuis une position latérale vers la zone devant le but, récupérés par un coéquipier. Comptés en absolu per-90.","Trent croise 10 fois, 3 trouvent un coéquipier = 3 crosses réussies",FB|W|CM,False,feat_crosses_p90,z_crosses_p90
accurateCrossesPercentage,crosses_pct,pct,Centres réussis sur centres tentés. Un centre est défini comme tout ballon intentionnel joué depuis une position latérale vers la zone devant le but. Réussi = contrôlé par un coéquipier.,"Trent croise 10 fois, 3 trouvent un coéquipier = 30%. Valeur moyenne latéral PL ≈ 20-25%",FB|W|CM,False,feat_crosses_pct,z_crosses_pct
totalCrosses,total_crosses_p90,vol,"Centres totaux tentés, réussis ou non. Mesure le volume de débordements et de jeu dans la largeur, indépendamment de la précision.",Sané effectue 8 centres dans le match dont 2 réussis = 8 totalCrosses,FB|W,False,feat_total_crosses_p90,z_total_crosses_p90
touches,touches_p90,vol,"Somme de tous les événements où le joueur touche le ballon — passe, tir, contrôle, dégagement, etc. Si un joueur contrôle puis passe, c'est 1 touche (l'action complète), pas 2.","Iniesta reçoit, contrôle et passe en une action fluide = 1 touch. Un défenseur qui dévie involontairement un tir = 1 touch",CF|CM|DM|AM|W,False,feat_touches_p90,z_touches_p90
successfulDribbles,dribbles_p90,vol,Dribbles réussis — tentatives où le joueur bat l'adversaire en conservant la possession. Échoué si le dribbleur est taclé ou si le ballon s'éloigne trop (overrun).,"Neymar tente 8 dribbles, en réussit 6 = 6 successfulDribbles",W|CF|AM|CM,False,feat_dribbles_p90,z_dribbles_p90
successfulDribblesPercentage,dribble_pct,pct,Dribbles réussis sur dribbles tentés. Un dribble est réussi si le joueur bat l'adversaire en conservant la possession. Échoué si le dribbleur est taclé ou si le ballon s'éloigne trop (overrun).,"Neymar tente 8 dribbles, en réussit 6 = 75%. Valeur top ailier PL ≈ 55-65%",W|CF|AM,False,feat_dribble_pct,z_dribble_pct
attemptedDribbles,dribbles_att_p90,vol,"Dribbles tentés — total des duels de dribble disputés, réussis ou non. Mesure le volume d'initiatives balle au pied, indépendamment de l'efficacité.",Mbappé tente 6 dribbles dans un match = 6 attempted dribbles (qu'il en réussisse 4 ou 6),W|CF|AM,False,feat_dribbles_att_p90,z_dribbles_att_p90
dispossessed,dispossessed_p90,vol,Sous-ensemble de possessionLost : uniquement les pertes de balle causées par un tacle adverse réussi sur le joueur en possession. Exclut les mauvaises passes et mauvais contrôles.,"Vinicius conduit, un défenseur le tacklé proprement et récupère le ballon = 1 dispossessed. Mauvaise passe de Vinicius = possessionLost mais pas dispossessed",W|CF|AM|CM,True,feat_dispossessed_p90,z_dispossessed_p90
possessionLost,poss_lost_p90,vol,"Nombre de fois où le joueur perd la possession — tacle adverse réussi sur lui, mauvais contrôle, passe ratée dans les pieds adverses, interception subie. Comptabilisé uniquement quand la possession change d'équipe suite à l'action du joueur.","Griezmann reçoit, adverse le tacklé et récupère le ballon = 1 possession lost pour Griezmann",CF|W|CM|DM|CB,True,feat_poss_lost_p90,z_poss_lost_p90
possessionWonAttThird,poss_won_att3_p90,vol,Ballons récupérés dans le tiers offensif adverse — résultat d'un pressing haut réussi ou d'une interception dans la zone ennemie. Indicateur d'intensité et d'efficacité du pressing offensif.,"Firmino presse le défenseur adverse dans son couloir défensif, provoque une mauvaise passe et récupère = 1 possession won att third",CF|W|AM|CM,False,feat_poss_won_att3_p90,z_poss_won_att3_p90
wasFouled,fouls_drawn_p90,vol,Fautes obtenues par le joueur — toute infraction sifflée par l'arbitre suite à un contact sur le joueur en possession ou cherchant à récupérer le ballon. Comptée indépendamment du carton éventuel.,"Salah percute un défenseur qui le fauche = 1 foul drawn pour Salah. Si l'arbitre siffle = 1 foul drawn, que ce soit carton ou non",CF|W|AM,False,feat_fouls_drawn_p90,z_fouls_drawn_p90
ballRecovery,ball_recovery_p90,vol,"Récupération de balle — action où le joueur obtient la possession sur un ballon libre ou dévié, sans que ce soit un tacle direct sur porteur ni une interception anticipée. Inclut les segundas pelotas.",Kanté se retrouve sur un rebond d'un tir adverse et récupère le ballon = 1 ball recovery,DM|CM|CD|FB,False,feat_ball_recovery_p90,z_ball_recovery_p90
totalContest,dribbles_att_p90,vol,Duels de dribble disputés (totalContest = total des contests dribble). Équivalent d'attemptedDribbles dans la nomenclature SofaScore. Mesure le volume d'initiatives balle au pied.,Mbappé tente 6 dribbles dans un match = 6 totalContest (réussis ou non),W|CF|AM,False,feat_dribbles_att_p90,z_dribbles_att_p90
dribbledPast,dribbled_past_p90,vol,"Nombre de fois où un adversaire réussit un dribble sur ce joueur. Feature défensive à inverser : moins le joueur se fait dribbler, mieux c'est. Indicateur de solidité défensive individuelle au sol.",Salah élimine le latéral adverse qui ne peut que le faucher = 1 dribbled past pour le défenseur,CD|FB,True,feat_dribbled_past_p90,z_dribbled_past_p90
penaltyWon,penalty_won_p90,vol,"Pénalty accordé au joueur suite à une faute commise sur lui dans la surface adverse. Attribué au joueur fauté, pas au tireur si différent.","Salah élimine un défenseur en surface, le défenseur le fauche → pénalty accordé à Salah",CF|W|AM,False,feat_penalty_won_p90,z_penalty_won_p90
foulsDrawn,fouls_drawn_p90,vol,Fautes obtenues par le joueur — toute infraction sifflée par l'arbitre suite à un contact sur le joueur en possession ou cherchant à récupérer le ballon. Comptée indépendamment du carton éventuel.,"Salah percute un défenseur qui le fauche = 1 foul drawn pour Salah. Si l'arbitre siffle = 1 foul drawn, que ce soit carton ou non",CF|W|AM,False,feat_fouls_drawn_p90,z_fouls_drawn_p90
fouls,fouls_p90,vol,Fautes commises — infractions sifflées suite à un contact irrégulier du joueur sur un adversaire. Comptée indépendamment du carton éventuel. Feature à inverser : moins = mieux.,"Tchouaméni tacklé irrégulièrement un adversaire, arbitre siffle = 1 foul. Valeur typique DM ≈ 2-3/match",DM|CB|CM,True,feat_fouls_p90,z_fouls_p90
penaltyConceded,penalty_conc_p90,vol,"Pénalty concédé — faute commise par ce joueur dans sa propre surface de réparation, entraînant un pénalty pour l'adversaire. Feature à inverser : moins = mieux.",Pavard fauche Mbappé dans la surface = 1 penalty conceded pour Pavard,CD|FB,True,feat_penalty_conc_p90,z_penalty_conc_p90
outfielderBlocks,outfielder_blocks_p90,vol,Bloc ou dégagement d'urgence d'un joueur de champ — intervention défensive où le joueur se sacrifie pour couper un tir ou une passe dangereuse dans la surface. Différent de blockedShots (moins strict sur la direction).,Saliba plonge devant une frappe dans la surface et la dévie en corner = 1 outfielder block,CD|DM,False,feat_outfielder_blocks_p90,z_outfielder_blocks_p90
duelLost,duel_lost_p90,vol,"Duels perdus — contests 1v1 aériens ou au sol où l'adversaire remporte la possession. Pour chaque duel perdu d'un joueur, il y a un duel gagné côté adverse. Feature à inverser.",Tchouaméni perd un duel au sol face à De Bruyne = 1 duel lost. Valeur typique DM ≈ 3-5/match,CD|DM|CM|CF,True,feat_duel_lost_p90,z_duel_lost_p90
errorLeadToGoal,errors_goal_p90,vol,Erreur individuelle d'un joueur menant DIRECTEMENT à un but encaissé. L'erreur doit être la cause directe sans phase de jeu intermédiaire. Très rare — 0 à 2 occurrences par saison pour la plupart des joueurs.,"Maguire perd le ballon dans sa propre surface, l'adversaire marque immédiatement = 1 errorLeadToGoal. Feature à inverser",CD|GK|FB,True,feat_errors_goal_p90,z_errors_goal_p90
errorLeadToShot,errors_shot_p90,vol,"Erreur menant DIRECTEMENT à un tir adverse, but ou non. Sur-ensemble de errorLeadToGoal — chaque errorLeadToGoal est aussi un errorLeadToShot mais pas l'inverse. Légèrement plus fréquent (2-6/saison).",Stones glisse et offre le ballon à Salah qui tire (gardien arrête) = 1 errorLeadToShot mais pas errorLeadToGoal,CD|GK|FB,True,feat_errors_shot_p90,z_errors_shot_p90
totalCross,total_crosses_p90,vol,"Centres totaux tentés, réussis ou non. Colonne source alternative (totalCross vs totalCrosses) selon la version de l'API SofaScore.",Sané effectue 8 centres dans le match dont 2 réussis = 8 totalCross,FB|W,False,feat_total_crosses_p90,z_total_crosses_p90
tackles,tackles_p90,vol,Tacle réussi = le joueur entre en contact avec le ballon dans un duel au sol et récupère la possession ou dégage le ballon. Le joueur taclé doit clairement être en possession. Couper une passe n'est PAS un tacle (c'est une interception).,"Kanté glisse et rafle le ballon sous le pied de Pogba qui avait le contrôle = 1 tackle. Kanté intercepte une passe = interception, pas tackle",DM|CB|CM|FB,False,feat_tackles_p90,z_tackles_p90
tacklesWon,tackles_won_p90,vol,Sous-ensemble des tacles : tacles remportés où le joueur récupère proprement la possession après le tacle (pas seulement dégagé). Indicateur de qualité défensive au sol.,Kanté tacklé Pogba et repart avec le ballon = 1 tackle won. Kanté dévie le ballon en touche = tacle mais pas won,DM|CB|CM|FB,False,feat_tackles_won_p90,z_tackles_won_p90
_tackle_success_pct,tackle_success_pct,pct,% tacles réussis = tacklesWon / tackles × 100. Mesure l'efficacité défensive au sol. Distingue le défenseur engagé précis (haut %) du défenseur brouillon qui tacle beaucoup mais perd souvent.,"Fabinho : 8 tacles, 6 remportés = 75% tackle success. Valeur top DM PL ≈ 65-75%",DM|CB|CM|FB,False,feat_tackle_success_pct,z_tackle_success_pct
interceptions,interceptions_p90,vol,Le joueur lit la passe adverse et se déplace dans la trajectoire du ballon pour l'intercepter. Geste ANTICIPATIF — le joueur doit se déplacer vers la ligne de passe avant que le ballon arrive. Différent du tacle (réactif sur porteur) et de la récupération (ballon libre).,"Fabinho lit une passe horizontale, se décale et intercepte le ballon dans sa course = 1 interception. Fabinho récupère un rebond qui traîne = ball recovery, pas interception",DM|CB|CM|FB,False,feat_interceptions_p90,z_interceptions_p90
clearances,clearances_p90,vol,"Dégagement = action d'un joueur qui éloigne le ballon d'une zone dangereuse SANS cible précise — il n'essaie pas de passer à un coéquipier, juste de dégager le danger. Si une cible est identifiée, c'est une passe.","Stones dégage un centre tendu de la tête dans les tribunes = 1 clearance. Stones contrôle le même centre et passe à Ederson = passe, pas clearance",CB|FB|DM,False,feat_clearances_p90,z_clearances_p90
blockedShots,blocked_shots_p90,vol,"Joueur de champ qui bloque une tentative de but adverse. Condition stricte Opta : le tir doit être dirigé vers le but (aurait été cadré ou but sans le bloc). Si le tir allait de toute façon à côté, aucun bloc n'est comptabilisé.",Van Dijk se jette devant la frappe de Salah adverse qui allait en haut du poteau = 1 blocked shot. Van Dijk dévie un tir qui allait largement à côté = 0 blocked shot,CB|DM|CM,False,feat_blocked_shots_p90,z_blocked_shots_p90
errorsLeadingToGoal,errors_goal_p90,vol,Erreur individuelle d'un joueur menant DIRECTEMENT à un but encaissé. L'erreur doit être la cause directe sans phase de jeu intermédiaire. Très rare — 0 à 2 occurrences par saison pour la plupart des joueurs.,"Maguire perd le ballon dans sa propre surface, l'adversaire marque immédiatement = 1 errorLeadingToGoal",CB|GK|FB,True,feat_errors_goal_p90,z_errors_goal_p90
errorsLeadingToShot,errors_shot_p90,vol,"Erreur menant DIRECTEMENT à un tir adverse, but ou non. Sur-ensemble de errorsLeadingToGoal — chaque erreur menant à un but est aussi un errorLeadingToShot mais pas l'inverse. Légèrement plus fréquent (2-6/saison).",Stones glisse et offre le ballon à Salah qui tire (gardien arrête) = 1 errorsLeadingToShot mais pas errorsLeadingToGoal,CB|GK|FB,True,feat_errors_shot_p90,z_errors_shot_p90
_duels_won_p90,duels_won_p90,vol,"Duels gagnés par 90min — somme des duels au sol et aériens gagnés (groundDuelsWon + aerialDuelsWon), converti en per-90. Indicateur global de présence physique dans les duels.",Tchouaméni : 4 duels sol gagnés + 2 duels aériens gagnés = 6 duels_won pour ce match,CB|DM|CM|CF,False,feat_duels_won_p90,z_duels_won_p90
_duels_won_pct,duels_won_pct,pct,% duels gagnés (tous types) — proxy calculé comme (groundDuelsWonPercentage + aerialDuelsWonPercentage) / 2. Indicateur global d'efficacité dans les duels 1v1.,Tchouaméni : 67% duels sol + 58% duels aériens = 62.5% duels_won_pct,CB|DM|CM|CF|FB,False,feat_duels_won_pct,z_duels_won_pct
groundDuelsWon,ground_duels_p90,vol,Duels au sol gagnés — contests 50/50 sur le sol où le joueur récupère la possession. Comptés séparément des duels aériens. Indicateur de solidité physique au sol.,Tchouaméni glisse dans un tacle et récupère le ballon face à De Bruyne = 1 ground duel won,DM|CM|CB|CF,False,feat_ground_duels_p90,z_ground_duels_p90
groundDuelsWonPercentage,ground_duels_pct,pct,% duels au sol gagnés sur duels au sol disputés. Un duel est défini comme un contest 50/50 entre deux joueurs adverses. Indicateur de solidité au sol dans les duels 1v1.,Tchouaméni : 6 duels sol gagnés / 9 disputés = 67%. Moyenne milieu défensif PL ≈ 55-60%,DM|CM|CB|CF,False,feat_ground_duels_pct,z_ground_duels_pct
aerialDuelsWon,aerial_duels_p90,vol,"Duels aériens gagnés — challenges en l'air pour des centres, dégagements ou balles longues. Indicateur de domination physique aérienne. Comptés séparément des duels au sol.",Giroud saute plus haut que le défenseur et capte un corner de la tête = 1 aerial duel won,CB|CF|DM,False,feat_aerial_duels_p90,z_aerial_duels_p90
aerialDuelsWonPercentage,aerial_duels_pct,pct,"Duels aériens gagnés sur duels aériens disputés. Un duel aérien nécessite 2+ joueurs qui challengent pour le même ballon en l'air. Gagné = le joueur obtient le premier contact contrôlé. Si fauté pendant le duel aérien, le joueur fauté gagne le duel.","Giroud vs un défenseur sur corner : tous deux sautent, Giroud capte le ballon de la tête = Giroud gagne le duel aérien. Si le défenseur le fauche en sautant = Giroud gagne le duel (fauté)",CB|CF|DM|FB,False,feat_aerial_duels_pct,z_aerial_duels_pct
foulsCommitted,fouls_p90,vol,Fautes commises — infractions sifflées suite à un contact irrégulier du joueur sur un adversaire. Ancienne nomenclature Opta (= fouls dans les données actuelles). Feature à inverser.,Tchouaméni tacklé irrégulièrement = 1 foulsCommitted. Valeur typique DM ≈ 2-3/match,DM|CB|CM,True,feat_fouls_p90,z_fouls_p90
offsides,offsides_p90,vol,Hors-jeux signalés contre le joueur — position en avance sur le dernier défenseur au moment où le ballon est joué vers lui. Signal indirect de courses en profondeur dans le dos de la défense.,"Mbappé part dans le dos d'une défense, le assistant lève le drapeau = 1 offside. 8-10 hors-jeux/saison = joueur qui cherche la profondeur",CF|W,True,feat_offsides_p90,z_offsides_p90
saves,saves_p90,vol,Arrêts réalisés — tirs cadrés adverses stoppés par le gardien. Comptés uniquement sur les tirs qui auraient constitué un but sans l'intervention. Corrélé au volume de tirs adverses reçus.,Alisson arrête un tir de Salah au premier poteau = 1 save. Alisson dévie un tir qui allait à côté = 0 save (pas cadré),GK,False,feat_saves_p90,z_saves_p90
cleanSheet,clean_sheets_p90,vol,Match sans but encaissé — gardien ayant tenu sa cage à zéro pour la totalité du match joué. Per-90 utilisé comme proportion de matchs à zéro. Corrélé à la qualité défensive collective.,"Ederson joue 90min sans encaisser = 1 cleanSheet. Ederson sort à la 80e (0-0), remplaçant encaisse = pas de cleanSheet",GK,False,feat_clean_sheets_p90,z_clean_sheets_p90
savedShotsFromInsideTheBox,saves_inside_p90,vol,Arrêts sur tirs depuis l'intérieur de la surface de réparation — sous-ensemble des saves sur les tirs les plus dangereux (zone de vérité). Indicateur du niveau de difficulté des arrêts réalisés.,Alisson arrête une frappe à bout portant de Haaland à 6m = 1 savedShotFromInsideTheBox,GK,False,feat_saves_inside_p90,z_saves_inside_p90
savedShotsFromOutsideTheBox,saves_outside_p90,vol,Arrêts sur tirs depuis l'extérieur de la surface — saves sur frappes lointaines. Généralement plus prévisibles mais peuvent être déviées. Indicateur du volume de tirs lointains arrêtés.,Alisson arrête une frappe de 25m de Salah qui allait dans le coin = 1 savedShotFromOutsideTheBox,GK,False,feat_saves_outside_p90,z_saves_outside_p90
crossesNotClaimed,crosses_not_claimed_p90,vol,"Centres non interceptés par le gardien — ballon joué depuis les côtés vers la surface que le gardien n'a pas capté ni dégagé. Feature à inverser : plus ce nombre est élevé, moins le gardien contrôle sa surface.","Un corner arrive dans la surface, Courtois ne sort pas et le ballon traîne = 1 crossNotClaimed",GK,True,feat_crosses_not_claimed_p90,z_crosses_not_claimed_p90
high_claims_pct,high_claims_pct,pct,Passes aériennes captées / (captées + ratées). highClaims = gardien sort et capte le ballon aérien. crossesNotClaimed = gardien sort pour capter un cross mais rate le ballon. Ratio de réussite sur les sorties aériennes tentées.,"Alisson : 28 highClaims, 3 crossesNotClaimed → high_claims_pct = 28/31 = 90.3%",GK,False,feat_high_claims_pct,z_high_claims_pct
_penalty_save_pct,penalty_save_pct,pct,% pénaltys arrêtés = penaltySave / penaltyFaced × 100. Mesure la performance du gardien sur penalty. Calculé uniquement pour les gardiens ayant fait face à au moins 1 pénalty saison.,"Alisson face à 5 pénaltys, en arrête 2 = 40% penalty_save_pct. Moyenne PL gardien ≈ 20-30%",GK,False,feat_penalty_save_pct,z_penalty_save_pct
rating,ss_rating,raw,"Note SofaScore calculée algorithmiquement à partir de l'ensemble des actions de jeu pondérées par poste. Échelle 1-10, mise à jour après chaque match. Utilisée comme benchmark de validation des scores du modèle.",De Bruyne : moyenne 7.3 sur la saison = excellent. Moyenne joueur ≈ 6.8. Gardien bonne saison ≈ 7.0-7.2,ALL,False,feat_ss_rating,z_ss_rating
_save_pct,save_pct,pct,Arrêts réalisés divisés par tirs cadrés adverses reçus. Ne tient pas compte de la difficulté des tirs (contrairement à PSxG). Un gardien face à une équipe qui tire beaucoup de loin aura mécaniquement un bon % même s'il n'est pas excellent.,Alisson : 112 arrêts / 140 tirs cadrés = 80%. Valeur top gardien PL ≈ 72-78%,GK,False,feat_save_pct,z_save_pct
cleanSheets,clean_sheets_p90,vol,Match sans but encaissé. Ancienne nomenclature Opta (= cleanSheet dans les données actuelles). Per-90 utilisé comme proportion de matchs à zéro.,Ederson joue 90min sans encaisser = 1 cleanSheet,GK,False,feat_clean_sheets_p90,z_clean_sheets_p90
goalsConceded,goals_conc_p90,vol,"Buts encaissés sur la saison. Feature à inverser : moins le gardien encaisse, mieux c'est. Corrélé à la qualité défensive collective — un gardien de grande équipe encaissera naturellement moins.",Courtois encaisse 1 but par match en moyenne = 1 goal_conc_p90. Top gardien PL ≈ 0.8-1.0,GK,True,feat_goals_conc_p90,z_goals_conc_p90
goalsPrevented,goals_prevented_p90,vol,"Buts évités = arrêts réalisés moins xGoals concédés attendus. Mesure la surperformance du gardien par rapport aux attentes. Équivalent SofaScore du PSxG+/- de FBref. Positif = meilleur que prévu, négatif = moins bon.","Ederson reçoit 45 tirs cadrés avec xGC=38.5, encaisse 34 buts → goalsPrevented = 38.5-34 = +4.5 (surperformance)",GK,False,feat_goals_prevented_p90,z_goals_prevented_p90
